Index,EntryIndex,Timestamp,ServingCellID,NeighborCellID,Neighbor_Avg_RSRP,Neighbor_Avg_RSRQ,Neighbor_Avg_SINR
4,27,80 04:21:33.500,13,9,0,0,0
5,27,80 04:21:33.500,13,3,0,0,0
6,27,80 04:21:33.500,13,7,0,0,0
7,27,80 04:21:33.500,13,10,0,0,0
8,27,80 04:21:33.500,13,12,0,0,0
9,27,80 04:21:33.500,13,2,0,0,0
10,27,80 04:21:33.500,13,15,0,0,0
11,27,80 04:21:33.500,13,14,0,0,0
12,27,80 04:21:33.500,13,11,0,0,0
1,28,80 04:21:33.500,5,13,0,0,14.75
2,28,80 04:21:33.500,5,8,0,0,4.25
3,28,80 04:21:33.500,5,9,0,0,2.5
4,28,80 04:21:33.500,5,10,0,0,0
5,28,80 04:21:33.500,5,2,0,0,2.25
6,28,80 04:21:33.500,5,14,0,0,0
7,28,80 04:21:33.500,5,3,0,0,6.333333333333333
8,28,80 04:21:33.500,5,7,0,0,0
9,28,80 04:21:33.500,5,15,0,0,0
10,28,80 04:21:33.500,5,6,0,0,0
11,28,80 04:21:33.500,5,11,0,0,0
12,28,80 04:21:33.500,5,12,0,0,0
1,29,80 04:21:33.500,14,6,0,0,19.5
2,29,80 04:21:33.500,14,10,0,0,6
3,29,80 04:21:33.500,14,9,0,0,6
4,29,80 04:21:33.500,14,5,0,0,0
5,29,80 04:21:33.500,14,15,0,0,0
6,29,80 04:21:33.500,14,11,0,0,0
7,29,80 04:21:33.500,14,3,0,0,0
8,29,80 04:21:33.500,14,2,0,0,0
9,29,80 04:21:33.500,14,8,0,0,0
1,30,80 04:21:33.500,9,6,0,0,11.333333333333334
2,30,80 04:21:33.500,9,8,0,0,2
3,30,80 04:21:33.500,9,5,0,0,5.25
4,30,80 04:21:33.500,9,4,0,0,0
5,30,80 04:21:33.500,9,14,0,0,0
6,30,80 04:21:33.500,9,10,0,0,0
7,30,80 04:21:33.500,9,2,0,0,2.25
8,30,80 04:21:33.500,9,12,0,0,0
9,30,80 04:21:33.500,9,3,0,0,4.5
10,30,80 04:21:33.500,9,13,0,0,1.6666666666666667
11,30,80 04:21:33.500,9,11,0,0,0
12,30,80 04:21:33.500,9,15,0,0,0
13,30,80 04:21:33.500,9,7,0,0,0
1,32,80 04:21:33.501,9,2,0,0,6
2,32,80 04:21:33.501,9,5,0,0,4.75
3,32,80 04:21:33.501,9,6,0,0,14.333333333333334
4,32,80 04:21:33.501,9,8,0,0,0.6666666666666666
5,32,80 04:21:33.501,9,11,0,0,0
6,32,80 04:21:33.501,9,12,0,0,0
7,32,80 04:21:33.501,9,4,0,0,0
8,32,80 04:21:33.501,9,7,0,0,0
9,32,80 04:21:33.501,9,13,0,0,1
10,32,80 04:21:33.501,9,3,0,0,4.5
11,32,80 04:21:33.501,9,10,0,0,0
12,32,80 04:21:33.501,9,14,0,0,0
13,32,80 04:21:33.501,9,15,0,0,0
1,33,80 04:21:33.501,14,6,0,0,17
2,33,80 04:21:33.501,14,2,0,0,0
3,33,80 04:21:33.501,14,10,0,0,0
4,33,80 04:21:33.501,14,5,0,0,0
5,33,80 04:21:33.501,14,8,0,0,0
6,33,80 04:21:33.501,14,9,0,0,2
7,33,80 04:21:33.501,14,15,0,0,0
8,33,80 04:21:33.501,14,11,0,0,0
9,33,80 04:21:33.501,14,3,0,0,0
1,35,80 04:21:33.502,5,13,0,0,11.5
2,35,80 04:21:33.502,5,9,0,0,4
3,35,80 04:21:33.502,5,8,0,0,7.5
4,35,80 04:21:33.502,5,2,0,0,0
5,35,80 04:21:33.502,5,6,0,0,0
6,35,80 04:21:33.502,5,15,0,0,0
7,35,80 04:21:33.502,5,11,0,0,0
8,35,80 04:21:33.502,5,10,0,0,0
9,35,80 04:21:33.502,5,3,0,0,7
10,35,80 04:21:33.502,5,7,0,0,0
11,35,80 04:21:33.502,5,4,0,0,0
12,35,80 04:21:33.502,5,14,0,0,0
13,35,80 04:21:33.502,5,12,0,0,0
1,36,80 04:21:33.502,14,6,0,0,22
2,36,80 04:21:33.502,14,9,0,0,2
3,36,80 04:21:33.502,14,5,0,0,0
4,36,80 04:21:33.502,14,10,0,0,0
5,36,80 04:21:33.502,14,15,0,0,0
6,36,80 04:21:33.502,14,11,0,0,0
7,36,80 04:21:33.502,14,2,0,0,0
8,36,80 04:21:33.502,14,3,0,0,0
9,36,80 04:21:33.502,14,8,0,0,0
1,37,80 04:21:33.502,12,7,0,0,3
2,37,80 04:21:33.502,12,2,0,0,2
3,37,80 04:21:33.502,12,10,0,0,0.5
4,37,80 04:21:33.502,12,4,0,0,5.5
5,37,80 04:21:33.502,12,11,0,0,0
6,37,80 04:21:33.502,12,5,0,0,0
7,37,80 04:21:33.502,12,14,0,0,0
8,37,80 04:21:33.502,12,6,0,0,0
9,37,80 04:21:33.502,12,9,0,0,0
10,37,80 04:21:33.502,12,15,0,0,0
11,37,80 04:21:33.502,12,8,0,0,0
1,38,80 04:21:33.503,2,4,0,0,9.666666666666666
2,38,80 04:21:33.503,2,7,0,0,6.5
3,38,80 04:21:33.503,2,12,0,0,0
4,38,80 04:21:33.503,2,10,0,0,0
5,38,80 04:21:33.503,2,11,0,0,0
6,38,80 04:21:33.503,2,5,0,0,0
7,38,80 04:21:33.503,2,8,0,0,0
8,38,80 04:21:33.503,2,3,0,0,3
9,38,80 04:21:33.503,2,6,0,0,4.5
10,38,80 04:21:33.503,2,15,0,0,0
11,38,80 04:21:33.503,2,14,0,0,0
12,38,80 04:21:33.503,2,13,0,0,0
1,39,80 04:21:33.503,9,3,0,0,10
2,39,80 04:21:33.503,9,2,0,0,22
3,39,80 04:21:33.503,9,5,0,0,6
4,39,80 04:21:33.503,9,8,0,0,0.3333333333333333
5,39,80 04:21:33.503,9,13,0,0,1
6,39,80 04:21:33.503,9,4,0,0,0
7,39,80 04:21:33.503,9,6,0,0,8.333333333333334
8,39,80 04:21:33.503,9,7,0,0,0
9,39,80 04:21:33.503,9,14,0,0,0
10,39,80 04:21:33.503,9,11,0,0,0
11,39,80 04:21:33.503,9,10,0,0,0
12,39,80 04:21:33.503,9,12,0,0,0
13,39,80 04:21:33.503,9,15,0,0,0
1,40,80 04:21:33.503,12,10,0,0,4.5
2,40,80 04:21:33.503,12,11,0,0,1.5
3,40,80 04:21:33.503,12,2,0,0,2
4,40,80 04:21:33.503,12,5,0,0,1
5,40,80 04:21:33.503,12,4,0,0,5.5
6,40,80 04:21:33.503,12,7,0,0,0
7,40,80 04:21:33.503,12,9,0,0,0
8,40,80 04:21:33.503,12,14,0,0,0
9,40,80 04:21:33.503,12,15,0,0,0
10,40,80 04:21:33.503,12,3,0,0,0
1,41,80 04:21:33.503,8,13,0,0,4.666666666666667
2,41,80 04:21:33.503,8,3,0,0,4.666666666666667
3,41,80 04:21:33.503,8,5,0,0,4
4,41,80 04:21:33.503,8,15,0,0,0
5,41,80 04:21:33.503,8,4,0,0,2
6,41,80 04:21:33.503,8,10,0,0,0
7,41,80 04:21:33.503,8,2,0,0,0
8,41,80 04:21:33.503,8,9,0,0,0
9,41,80 04:21:33.503,8,11,0,0,18
10,41,80 04:21:33.503,8,7,0,0,0
1,42,80 04:21:33.504,12,4,0,0,10
2,42,80 04:21:33.504,12,10,0,0,0
3,42,80 04:21:33.504,12,5,0,0,1.5
4,42,80 04:21:33.504,12,9,0,0,0
5,42,80 04:21:33.504,12,11,0,0,0
6,42,80 04:21:33.504,12,2,0,0,0
7,42,80 04:21:33.504,12,7,0,0,0
8,42,80 04:21:33.504,12,15,0,0,0
9,42,80 04:21:33.504,12,14,0,0,0
1,43,80 04:21:33.504,13,5,0,0,13.666666666666666
2,43,80 04:21:33.504,13,6,0,0,0
3,43,80 04:21:33.504,13,3,0,0,0
4,43,80 04:21:33.504,13,10,0,0,0
5,43,80 04:21:33.504,13,11,0,0,0
6,43,80 04:21:33.504,13,9,0,0,0
7,43,80 04:21:33.504,13,15,0,0,0
8,43,80 04:21:33.504,13,8,0,0,3
9,43,80 04:21:33.504,13,2,0,0,0
10,43,80 04:21:33.504,13,14,0,0,0
11,43,80 04:21:33.504,13,4,0,0,0
12,43,80 04:21:33.504,13,7,0,0,0
1,44,80 04:21:33.504,2,4,0,0,9.333333333333334
2,44,80 04:21:33.504,2,10,0,0,0
3,44,80 04:21:33.504,2,13,0,0,0
4,44,80 04:21:33.504,2,8,0,0,0
5,44,80 04:21:33.504,2,11,0,0,0
6,44,80 04:21:33.504,2,3,0,0,0.5
7,44,80 04:21:33.504,2,6,0,0,2.3333333333333335
8,44,80 04:21:33.504,2,7,0,0,5.666666666666667
9,44,80 04:21:33.504,2,12,0,0,2
10,44,80 04:21:33.504,2,5,0,0,0
11,44,80 04:21:33.504,2,15,0,0,0
12,44,80 04:21:33.504,2,9,0,0,0
1,45,80 04:21:33.505,7,4,0,0,6
2,45,80 04:21:33.505,7,3,0,0,7.25
3,45,80 04:21:33.505,7,8,0,0,0.3333333333333333
